PERF {asctime} GET /static/css/main.css 404 0.13s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.13s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.09s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /e_commerce/customer-accounts/cd0bcede-c8f4-47ee-99c7-2768052ea2ce/ 200 0.11s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.14s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.17s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.08s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /e_commerce/customer-accounts/ 200 0.16s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.14s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.14s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /sales/transactions/ 403 0.12s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.18s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.12s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /sales/orders/ 403 0.18s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.11s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.11s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /.well-known/appspecific/com.chrome.devtools.json 404 0.17s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /e_commerce/customer-accounts/cd0bcede-c8f4-47ee-99c7-2768052ea2ce/ 200 0.13s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.21s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.58s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /.well-known/appspecific/com.chrome.devtools.json 404 0.51s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.14s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /e_commerce/customer-accounts/ 200 0.09s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.13s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.14s User:testcustomer IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.11s User:testcustomer IP:127.0.0.1
